year,artist,title
1990,PHIL COLLINS,Another Day In Paradise
1990,JANET JACKSON,Rhythm Nation
1990,LINDA RONSTADT & AARON NEVILLE,Don't Know Much
1990,TECHNOTRONIC,Pump Up The Jam
1990,TAYLOR DAYNE,With Every Beat Of My Heart
1990,MICHAEL BOLTON,How Am I Supposed To Live Without You
1990,NEW KIDS ON THE BLOCK,This One's For The Children
1990,CHER,Just Like Jesse James
1990,BILLY JOEL,We Didn't Start The Fire
1990,JODY WATLEY,Everything
1990,SOUL II SOUL,Back 2 Life
1990,JIVE BUNNY AND THE MASTERMIXERS,Swing In The Mood
1990,LOU GRAMM,Just Between You And Me
1990,TOM PETTY,Free Fallin'
1990,TESLA,Love Song
1990,ROD STEWART,Downtown Train
1990,JOE COCKER,When The Night Comes
1990,SEDUCTION,Two To Make It Right
1990,BON JOVI,Living In Sin
1990,MADONNA,Oh Father
1990,MILLI VANILLI,Blame It On The Rain
1990,SKID ROW,I Remember You
1990,ROLLING STONES,Rock And A Hard Place
1990,AEROSMITH,Janie's Got A Gun
1990,QUINCY JONES featuring RAY CHARLES,I'll Be Good To You
1990,BABYFACE,Tender Love
1990,EDDIE MONEY,Peace In Our Time
1990,B-52'S,Love Shack
1990,CHICAGO,What Kind Of Man Would I Be
1990,KIX,Don't Close My Eyes
1990,EXPOSE,Tell Me Why
1990,PAULA ABDUL,Opposites Attract
1990,PAULA ABDUL,(It s Just) The Way That You Love Me
1990,MICHAEL DAMIAN,Was It Nothing At All
1990,YOUNG MC,Principle's Office
1990,YOUNG M.C.,Bust A Move
1990,MOTLEY CRUE,Kickstart My Heart
1990,BAD ENGLISH,When I See You Smile
1990,TINA TURNER,Steamy Windows
1990,ROXETTE,Dangerous
1990,SHANA,I Want You
1990,SYBIL,Don't Make Me Over
1990,POCO,Nothin' To Hide
1990,GLORIA ESTEFAN,Here We Are
1990,COVER GIRLS,We Can't Go Wrong
1990,WHITESNAKE,Fool For Your Loving
1990,DON HENLEY,The Last Worthless Evening
1990,MICHEL'LE,No More Lies
1990,RICHARD MARX,Angelia
1990,2 LIVE CREW,Me So Horny
1990,MILLI VANILLI,All Or Nothing
1990,JAYA,If You Leave Me Now
1990,BAD ENGLISH,Price Of Love
1990,TEARS FOR FEARS,Woman In Chains
1990,BELINDA CARLISLE,Leave A Light On
1990,FIONA,Everything You Go
1990,ALICE COOPER,Poison
1990,BONHAM,Wait For You
1990,MARCIA GRIFFITHS,Electric Boogie
1990,PAUL CARRACK,I Live By The Groove
1990,D-MOB & CATHY DENNIS,C'mon And Get My Love
1990,SA-FIRE,I Will Survive
1990,PRINCE & SHEENA EASTON,The Arms Of Orion
1990,JERMAINE JACKSON,Don't Take It Personal
1990,KEVIN PAIGE,Don't Shut Me Out
1990,GREAT WHITE,The Angel Song
1990,DEPECHE MODE,Personal Jesus
1990,PAJAMA PARTY,Over & Over
1990,LUTHER VANDROSS,Here & Now
1990,B-52'S,Roam
1990,KENNY G,Going Home
1990,ERIC CLAPTON,Pretending
1990,NENEH CHERRY,Heart
1990,DINO,Never 2 Much Of U
1990,ROXETTE,Listen To Your Heart
1990,CHRISTOPHER MAX,Serious Kinda Girl
1990,SMITHEREENS,A Girl Like You
1990,NEW KIDS ON THE BLOCK,Didn't I (Blow Your Mind)
1990,BOBBY BROWN,Rock Rit'cha
1990,GLORIA ESTEFAN,Get On Your Feet
1990,WARRANT,Sometimes She Cries
1990,CURE,Lullaby
1990,KISS,Hide Your Heart
1990,LOVERBOY,Too Hot
1990,MICHAEL PENN,No Myth
1990,ALANNAH MYLES,Black Velvet
1990,DIVING FOR PEARLS,Gimmie Good Lovin'
1990,LIL LOUIS,French Kiss
1990,ABSTRAC',Right & Hype
1990,MICHAEL MORALES,I Don't Know
1990,STEVIE B,Girl I Am Searching For You
1990,JANET JACKSON,Miss You Much
1990,STARSHIP,I Didn't Mean To Stay All Night
1990,SHARON BRYANT,Foolish Heart
1990,CHRISTOPHER WILLIAMS,Talk To Myself
1990,AFTER 7,Heat Of The Moment
1990,NEW KIDS ON THE BLOCK,Cover Girl
1990,HOOTERS,500 Miles
1990,SARAYA,Back To The Bullet
1990,CHUNKY A,Owwww!
1989,PHIL COLLINS,Another Day In Paradise
1989,JANET JACKSON,Rhythm Nation
1989,LINDA RONSTADT & AARON NEVILLE,Don't Know Much
1989,TECHNOTRONIC,Pump Up The Jam
1989,TAYLOR DAYNE,With Every Beat Of My Heart
1989,MICHAEL BOLTON,How Am I Supposed To Live Without You
1989,NEW KIDS ON THE BLOCK,This One's For The Children
1989,CHER,Just Like Jesse James
1989,BILLY JOEL,We Didn't Start The Fire
1989,JODY WATLEY,Everything
1989,SOUL II SOUL,Back 2 Life
